paperId,url,title,citationCount,isOpenAccess,fieldsOfStudy,tldr,description_cleaned,created
f15a2d21309f429fbec688b8aee5c7bdb66b8f40,https://www.semanticscholar.org/paper/f15a2d21309f429fbec688b8aee5c7bdb66b8f40,Renewable-integrated flexible carbon capture: a synergistic path forward to clean energy future,28,False,Environmental Science,,"To decarbonize electricity grids, CO2 capture and renewable wind/solar are two promising pathways. However, the intermittency of these variable renewable sources and the high energy requirement of carbon capture restrict their widespread deployment. These challenges are traditionally addressed independently at the grid-level, leading to conservative costs and limited operational flexibility for both systems. Here, we examine the synergistic integration of renewables and flexible carbon capture with individual fossil power plants. Renewables provide clean energy for carbon capture, while flexible carbon capture acts as a form of energy storage to counter renewable intermittency. To assess whether the benefits obtained from integration outweigh the capital cost under spatiotemporal variability of electricity markets and renewable energy, we develop a mathematical programming-based optimization framework. We decouple the design and operational decisions in a two-stage optimization strategy to efficiently solve the large-scale problem. When applied to a nationwide case study on coal plants across the US, we observe that, for futuristic carbon tax and renewable cost scenarios, it is profitable to invest in solar-assisted carbon capture for nearly one-third of the coal plants. It reduces carbon capture cost by 8.9%, and accommodates solar intermittency while avoiding the capital cost of an equivalent battery, which is 4.4 times the solar farm cost. Furthermore, the levelized cost of electricity will be less than that of new natural gas plants with overall emission reduction between 87.5 and 91%. The integrated system thereby provides a cost-effective and sustainable measure to reduce CO2 emissions and improve the operational flexibility of existing fossil-based systems for accelerating the clean energy transition of the global energy sector.",2021
a4830bc41a88ee369f08c0556360c12cf887f564,https://www.semanticscholar.org/paper/a4830bc41a88ee369f08c0556360c12cf887f564,Recent advances in carbon capture storage and utilisation technologies: a review,206,True,Materials Science,,,2020
ecacc2f192e4b881ca95749821b9d8595a81477b,https://www.semanticscholar.org/paper/ecacc2f192e4b881ca95749821b9d8595a81477b,Atmospheric Carbon Capture,0,False,,,,2022
9a722f9ec3bca95b5f86b501706d040dc968472d,https://www.semanticscholar.org/paper/9a722f9ec3bca95b5f86b501706d040dc968472d,"Carbon mineralization pathways for carbon capture, storage and utilization",28,True,Medicine,,,2021
5b190c555003e154bb9038844899014425236273,https://www.semanticscholar.org/paper/5b190c555003e154bb9038844899014425236273,Carbon capture and conversion using metal-organic frameworks and MOF-based materials.,801,False,"Materials Science, Medicine","{'model': 'tldr@v2.0.0', 'text': 'This review provides a comprehensive account of significant progress in the design and synthesis of MOF-based materials, including MOFs, MOF composites and MOF derivatives, and their application to carbon capture and conversion.'}","Rapidly increasing atmospheric CO2 concentrations threaten human society, the natural environment, and the synergy between the two. In order to ameliorate the CO2 problem, carbon capture and conversion techniques have been proposed. Metal-organic framework (MOF)-based materials, a relatively new class of porous materials with unique structural features, high surface areas, chemical tunability and stability, have been extensively studied with respect to their applicability to such techniques. Recently, it has become apparent that the CO2 capture capabilities of MOF-based materials significantly boost their potential toward CO2 conversion. Furthermore, MOF-based materials' well-defined structures greatly facilitate the understanding of structure-property relationships and their roles in CO2 capture and conversion. In this review, we provide a comprehensive account of significant progress in the design and synthesis of MOF-based materials, including MOFs, MOF composites and MOF derivatives, and their application to carbon capture and conversion. Special emphases on the relationships between CO2 capture capacities of MOF-based materials and their catalytic CO2 conversion performances are discussed.",2019
e24d6d882c78389a9c356b87ac46e065087549cf,https://www.semanticscholar.org/paper/e24d6d882c78389a9c356b87ac46e065087549cf,Climate change mitigation potential of carbon capture and utilization in the chemical industry,286,True,"Medicine, Environmental Science","{'model': 'tldr@v2.0.0', 'text': 'This study shows that CCU has the technical potential to lead to a carbon-neutral chemical industry and decouple chemical production from fossil resources, reducing annual GHG emissions by up to 3.5 Gt CO2-eq in 2030.'}","Significance Carbon dioxide (CO2) drives climate change when released to the atmosphere. Alternatively, CO2 could be captured and utilized as carbon source for chemicals. Here, we provide a global assessment of the technical climate change mitigation potential of carbon capture and utilization (CCU) in the chemical industry. We develop an engineering-level model of the global chemical industry representing 75% of current greenhouse gas (GHG) emissions. The model allows us to analyze the potential disruptive changes through large-scale CO2 utilization and resulting emission reductions. Our study shows that CCU has the technical potential to lead to a carbon-neutral chemical industry and decouple chemical production from fossil resources. This transition, however, would cause largely increased mass flows and demand for low-carbon electricity. Chemical production is set to become the single largest driver of global oil consumption by 2030. To reduce oil consumption and resulting greenhouse gas (GHG) emissions, carbon dioxide can be captured from stacks or air and utilized as alternative carbon source for chemicals. Here, we show that carbon capture and utilization (CCU) has the technical potential to decouple chemical production from fossil resources, reducing annual GHG emissions by up to 3.5 Gt CO2-eq in 2030. Exploiting this potential, however, requires more than 18.1 PWh of low-carbon electricity, corresponding to 55% of the projected global electricity production in 2030. Most large-scale CCU technologies are found to be less efficient in reducing GHG emissions per unit low-carbon electricity when benchmarked to power-to-X efficiencies reported for other large-scale applications including electro-mobility (e-mobility) and heat pumps. Once and where these other demands are satisfied, CCU in the chemical industry could efficiently contribute to climate change mitigation.",2019
c5d58c42f6af877a3b99a98114c1c633674928af,https://www.semanticscholar.org/paper/c5d58c42f6af877a3b99a98114c1c633674928af,The climate change mitigation potential of bioenergy with carbon capture and storage,95,True,Environmental Science,,,2020
9496966a27c7a9176ec0a8ff6a04781caa42b7bb,https://www.semanticscholar.org/paper/9496966a27c7a9176ec0a8ff6a04781caa42b7bb,Cooperative carbon capture and steam regeneration with tetraamine-appended metal–organic frameworks,145,False,"Environmental Science, Medicine","{'model': 'tldr@v2.0.0', 'text': 'A family of robust tetraamine-functionalized frameworks that retain cooperativity are reported, leading to the potential for exceptional efficiency in capturing CO2 under the extreme conditions relevant to natural gas flue emissions.'}","Steaming out captured CO2 Although natural gas is less carbon dioxide (CO2)–intensive than coal, capturing its emitted CO2 can be more challenging because combined-cycle natural gas combustion has a CO2 concentration that is only one-third of that of coal combustion and contains high concentrations of oxygen and water. Kim et al. report on a tetraamine-functionalized magnesium metal–organic framework that displays two-step cooperative CO2 adsorption that leads to a high CO2 capacity and adsorption enthalpy (see the Perspective by Peh and Zhao). This material could capture CO2from humid air and could be regenerated with steam, a method that is more economical than temperature or pressure swing methods. Science, this issue p. 392; see also p. 372 Tetraamine-functionalized metal–organic frameworks enable CO2 capture from humid streams, as well as steam regeneration. Natural gas has become the dominant source of electricity in the United States, and technologies capable of efficiently removing carbon dioxide (CO2) from the flue emissions of natural gas–fired power plants could reduce their carbon intensity. However, given the low partial pressure of CO2 in the flue stream, separation of CO2 is particularly challenging. Taking inspiration from the crystal structures of diamine-appended metal–organic frameworks exhibiting two-step cooperative CO2 adsorption, we report a family of robust tetraamine-functionalized frameworks that retain cooperativity, leading to the potential for exceptional efficiency in capturing CO2 under the extreme conditions relevant to natural gas flue emissions. The ordered, multimetal coordination of the tetraamines imparts the materials with extraordinary stability to adsorption-desorption cycling with simulated humid flue gas and enables regeneration using low-temperature steam in lieu of costly pressure or temperature swings.",2020
154b9fd69570539e90f51e1b19db944713d3bfdc,https://www.semanticscholar.org/paper/154b9fd69570539e90f51e1b19db944713d3bfdc,A Guideline for Life Cycle Assessment of Carbon Capture and Utilization,80,True,Business,,"Carbon Capture and Utilization (CCU) is an emerging field proposed for emissions mitigation and even negative emissions. These potential benefits need to be assessed by the holistic method of Life Cycle Assessment (LCA) that accounts for multiple environmental impact categories over the entire life cycle of products or services. However, even though LCA is a standardized method, current LCA practice differs widely in methodological choices. The resulting LCA studies show large variability which limits their value for decision support. Applying LCA to CCU technologies leads to further specific methodological issues, e.g., due to the double role of CO2 as emission and feedstock. In this work, we therefore present a comprehensive guideline for LCA of CCU technologies. The guideline has been development in a collaborative process involving over 40 experts and builds upon existing LCA standards and guidelines. The presented guidelines should improve comparability of LCA studies through clear methodological guidance and predefined assumptions on feedstock and utilities. Transparency is increased through interpretation and reporting guidance. Improved comparability should help to strengthen knowledge-based decision-making. Consequently, research funds and time can be allocated more efficiently for the development of technologies for climate change mitigation and negative emissions.",2020
e3e850fb87909bd91aab7ecb8260417ccfcb383b,https://www.semanticscholar.org/paper/e3e850fb87909bd91aab7ecb8260417ccfcb383b,"The Role of Carbon Capture and Utilization, Carbon Capture and Storage, and Biomass to Enable a Net-Zero-CO2 Emissions Chemical Industry",171,False,Environmental Science,,This contribution provides a conceptual analysis and a quantitative comparative assessment of three technology chains that enable a carbon neutral chemical industry in a net-zero-CO2 world. These a...,2020
